"filename", "language", "Vue.js", "JavaScript", "Markdown", "JSON", "SCSS", "CSS", "HTML", "XML", "Less", "Pug", "comment", "blank", "total"
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\allied_telesis\switch\Switch_48_port_L3_POE.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 1, 62
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\allied_telesis\switch\Switch_52_port_L3.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 1, 74
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\allied_telesis\wireless\Access_Point_Indoor.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 138, 0, 0, 0, 1, 139
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\allied_telesis\wireless\Access_Point_Outdoor.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 174, 0, 0, 0, 1, 175
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\allied_telesis\wireless\Laptop_Wireless.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 276, 0, 0, 0, 1, 277
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\atlassian\Atlassian_Logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 19
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\atlassian\Bamboo_Logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 20
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\atlassian\Bitbucket_Logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 17
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\atlassian\Clover_Logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 17
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\atlassian\Confluence_Logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 20
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\atlassian\Crowd_Logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 17
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\atlassian\Crucible_Logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 17
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\atlassian\Fisheye_Logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 17
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\atlassian\Hipchat_Logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 15
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\atlassian\Jira_Core_Logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 15
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\atlassian\Jira_Logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 21
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\atlassian\Jira_Service_Desk_Logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 16
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\atlassian\Jira_Software_Logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 19
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\atlassian\Sourcetree_Logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 22
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\atlassian\Statuspage_Logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 16
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\atlassian\Stride_Logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 16
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\atlassian\Trello_Logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 19
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\ibm\analytics\analytics.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 1, 1, 35
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\ibm\analytics\data_integration.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 1, 1, 24
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\ibm\analytics\data_repositories.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 1, 1, 29
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\ibm\analytics\device_analytics.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 1, 1, 22
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\ibm\analytics\streaming_computing.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 1, 1, 33
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\ibm\applications\actionable_insight.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 1, 1, 42
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\ibm\applications\annotate.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 1, 14
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\ibm\applications\api_developer_portal.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 1, 27
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\ibm\applications\api_polyglot_runtimes.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 1, 1, 50
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\ibm\applications\app_server.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 1, 1, 19
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\ibm\applications\application_logic.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 1, 1, 31
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\ibm\applications\automation_tools.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 1, 1, 26
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\ibm\applications\enterprise_applications.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 1, 1, 17
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\ibm\applications\index.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 1, 14
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\ibm\applications\iot_application.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 1, 1, 22
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\ibm\applications\microservice.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 1, 1, 35
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\ibm\applications\mobile_app.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 1, 1, 17
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\ibm\applications\ontology.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 1, 1, 26
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\ibm\applications\open_source_tools.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 1, 1, 15
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\ibm\applications\runtime_services.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 1, 1, 40
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\ibm\applications\saas_applications.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 1, 1, 17
